measurement_key,float_key,measurement_time,lat,lon,pressure,temperature,salinity
68,1,2006-10-22 02:16:24.000628,-40.316,73.389,1850.3,2.691,34.633
69,1,2006-10-22 02:16:24.000628,-40.316,73.389,1899.8,2.658,34.647
70,1,2006-10-22 02:16:24.000628,-40.316,73.389,1950.2,2.612,34.666
71,1,2006-10-22 02:16:24.000628,-40.316,73.389,2000.0,2.568,34.681
72,1,2006-10-22 02:16:24.000628,-40.316,73.389,6.0,12.518,35.131
73,1,2006-10-22 02:16:24.000628,-40.316,73.389,10.0,12.519,35.131
74,1,2006-10-22 02:16:24.000628,-40.316,73.389,19.6,12.518,35.131
75,1,2006-10-22 02:16:24.000628,-40.316,73.389,29.8,12.519,35.131
76,1,2006-10-22 02:16:24.000628,-40.316,73.389,39.9,12.523,35.132
77,1,2006-10-22 02:16:24.000628,-40.316,73.389,50.2,12.525,35.132
78,1,2006-10-22 02:16:24.000628,-40.316,73.389,60.2,12.445,35.127
79,1,2006-10-22 02:16:24.000628,-40.316,73.389,69.9,12.41,35.128
80,1,2006-10-22 02:16:24.000628,-40.316,73.389,79.3,12.374,35.127
81,1,2006-10-22 02:16:24.000628,-40.316,73.389,90.1,12.326,35.123
82,1,2006-10-22 02:16:24.000628,-40.316,73.389,99.9,12.292,35.123
83,1,2006-10-22 02:16:24.000628,-40.316,73.389,110.2,12.234,35.118
84,1,2006-10-22 02:16:24.000628,-40.316,73.389,120.3,12.224,34.904
85,1,2006-10-22 02:16:24.000628,-40.316,73.389,130.2,12.219,35.115
86,1,2006-10-22 02:16:24.000628,-40.316,73.389,140.2,12.219,35.116
87,1,2006-10-22 02:16:24.000628,-40.316,73.389,150.0,12.211,35.113
88,1,2006-10-22 02:16:24.000628,-40.316,73.389,160.1,12.206,35.113
89,1,2006-10-22 02:16:24.000628,-40.316,73.389,169.9,12.206,35.113
90,1,2006-10-22 02:16:24.000628,-40.316,73.389,179.7,12.203,35.111
91,1,2006-10-22 02:16:24.000628,-40.316,73.389,190.5,12.2,35.111
92,1,2006-10-22 02:16:24.000628,-40.316,73.389,199.9,12.183,35.107
93,1,2006-10-22 02:16:24.000628,-40.316,73.389,210.1,12.173,35.104
94,1,2006-10-22 02:16:24.000628,-40.316,73.389,220.4,12.125,35.096
95,1,2006-10-22 02:16:24.000628,-40.316,73.389,230.1,12.097,35.09
96,1,2006-10-22 02:16:24.000628,-40.316,73.389,240.4,12.07,35.085
97,1,2006-10-22 02:16:24.000628,-40.316,73.389,250.3,12.004,35.073
98,1,2006-10-22 02:16:24.000628,-40.316,73.389,259.8,12.034,35.081
99,1,2006-10-22 02:16:24.000628,-40.316,73.389,270.2,11.96,35.066
100,1,2006-10-22 02:16:24.000628,-40.316,73.389,279.5,11.939,35.062
101,1,2006-10-22 02:16:24.000628,-40.316,73.389,290.1,11.925,35.058
102,1,2006-10-22 02:16:24.000628,-40.316,73.389,300.3,11.895,35.053
103,1,2006-10-22 02:16:24.000628,-40.316,73.389,310.0,11.915,35.059
104,1,2006-10-22 02:16:24.000628,-40.316,73.389,319.9,11.896,35.056
105,1,2006-10-22 02:16:24.000628,-40.316,73.389,330.4,11.887,35.056
106,1,2006-10-22 02:16:24.000628,-40.316,73.389,339.8,11.894,35.057
107,1,2006-10-22 02:16:24.000628,-40.316,73.389,350.0,11.812,35.038
108,1,2006-10-22 02:16:24.000628,-40.316,73.389,360.3,11.759,35.029
109,1,2006-10-22 02:16:24.000628,-40.316,73.389,379.9,11.699,35.02
110,1,2006-10-22 02:16:24.000628,-40.316,73.389,399.8,11.555,34.997
111,1,2006-10-22 02:16:24.000628,-40.316,73.389,450.3,11.18,34.933
112,1,2006-10-22 02:16:24.000628,-40.316,73.389,500.2,10.895,34.891
113,1,2006-10-22 02:16:24.000628,-40.316,73.389,549.7,10.296,34.81
114,1,2006-10-22 02:16:24.000628,-40.316,73.389,600.0,9.699,34.739
115,1,2006-10-22 02:16:24.000628,-40.316,73.389,650.0,9.193,34.679
116,1,2006-10-22 02:16:24.000628,-40.316,73.389,700.4,8.67,34.626
117,1,2006-10-22 02:16:24.000628,-40.316,73.389,750.4,8.065,34.573
118,1,2006-10-22 02:16:24.000628,-40.316,73.389,800.3,7.596,34.534
119,1,2006-10-22 02:16:24.000628,-40.316,73.389,850.4,6.969,34.48
120,1,2006-10-22 02:16:24.000628,-40.316,73.389,899.8,5.991,34.386
121,1,2006-10-22 02:16:24.000628,-40.316,73.389,947.9,5.392,34.348
122,1,2006-10-22 02:16:24.000628,-40.316,73.389,1000.1,5.103,34.352
123,1,2006-10-22 02:16:24.000628,-40.316,73.389,1050.3,4.643,34.337
124,1,2006-10-22 02:16:24.000628,-40.316,73.389,1100.0,4.338,34.341
125,1,2006-10-22 02:16:24.000628,-40.316,73.389,1150.0,4.118,34.34
126,1,2006-10-22 02:16:24.000628,-40.316,73.389,1199.9,3.926,34.357
127,1,2006-10-22 02:16:24.000628,-40.316,73.389,1250.1,3.763,34.375
128,1,2006-10-22 02:16:24.000628,-40.316,73.389,1298.1,3.562,34.399
129,1,2006-10-22 02:16:24.000628,-40.316,73.389,1350.2,3.432,34.423
130,1,2006-10-22 02:16:24.000628,-40.316,73.389,1400.2,3.325,34.443
131,1,2006-10-22 02:16:24.000628,-40.316,73.389,1449.8,3.221,34.466
132,1,2006-10-22 02:16:24.000628,-40.316,73.389,1499.8,3.13,34.492
133,1,2006-10-22 02:16:24.000628,-40.316,73.389,1550.5,3.019,34.52
134,1,2006-10-22 02:16:24.000628,-40.316,73.389,1599.7,2.931,34.544
135,1,2006-10-22 02:16:24.000628,-40.316,73.389,1649.9,2.875,34.562
136,1,2006-10-22 02:16:24.000628,-40.316,73.389,1699.6,2.817,34.582
137,1,2006-10-22 02:16:24.000628,-40.316,73.389,1749.5,2.767,34.6
138,1,2006-10-22 02:16:24.000628,-40.316,73.389,1799.6,2.73,34.615
139,1,2006-10-22 02:16:24.000628,-40.316,73.389,1850.3,2.691,34.633
140,1,2006-10-22 02:16:24.000628,-40.316,73.389,1899.8,2.658,34.647
141,1,2006-10-22 02:16:24.000628,-40.316,73.389,1950.2,2.612,34.666
142,1,2006-10-22 02:16:24.000628,-40.316,73.389,2000.0,2.568,34.681
143,1,2006-10-22 02:16:24.000628,-40.316,73.389,6.0,12.518,35.131
144,1,2006-10-22 02:16:24.000628,-40.316,73.389,10.0,12.519,35.131
145,1,2006-10-22 02:16:24.000628,-40.316,73.389,19.6,12.518,35.131
146,1,2006-10-22 02:16:24.000628,-40.316,73.389,29.8,12.519,35.131
147,1,2006-10-22 02:16:24.000628,-40.316,73.389,39.9,12.523,35.132
148,1,2006-10-22 02:16:24.000628,-40.316,73.389,50.2,12.525,35.132
149,1,2006-10-22 02:16:24.000628,-40.316,73.389,60.2,12.445,35.127
150,1,2006-10-22 02:16:24.000628,-40.316,73.389,69.9,12.41,35.128
151,1,2006-10-22 02:16:24.000628,-40.316,73.389,79.3,12.374,35.127
152,1,2006-10-22 02:16:24.000628,-40.316,73.389,90.1,12.326,35.123
153,1,2006-10-22 02:16:24.000628,-40.316,73.389,99.9,12.292,35.123
154,1,2006-10-22 02:16:24.000628,-40.316,73.389,110.2,12.234,35.118
155,1,2006-10-22 02:16:24.000628,-40.316,73.389,120.3,12.224,34.904
156,1,2006-10-22 02:16:24.000628,-40.316,73.389,130.2,12.219,35.115
157,1,2006-10-22 02:16:24.000628,-40.316,73.389,140.2,12.219,35.116
158,1,2006-10-22 02:16:24.000628,-40.316,73.389,150.0,12.211,35.113
159,1,2006-10-22 02:16:24.000628,-40.316,73.389,160.1,12.206,35.113
160,1,2006-10-22 02:16:24.000628,-40.316,73.389,169.9,12.206,35.113
161,1,2006-10-22 02:16:24.000628,-40.316,73.389,179.7,12.203,35.111
162,1,2006-10-22 02:16:24.000628,-40.316,73.389,190.5,12.2,35.111
163,1,2006-10-22 02:16:24.000628,-40.316,73.389,199.9,12.183,35.107
164,1,2006-10-22 02:16:24.000628,-40.316,73.389,210.1,12.173,35.104
165,1,2006-10-22 02:16:24.000628,-40.316,73.389,220.4,12.125,35.096
166,1,2006-10-22 02:16:24.000628,-40.316,73.389,230.1,12.097,35.09
